recordType,extensionId,year,ageMin,ageMax,gender,category,disciplineCode,disciplineName,disciplineBaseName,disciplineVariant,unit,better,bronze,silver,gold,bronzeRaw,silverRaw,goldRaw,disciplineKey,disciplineCodePdf,catalogCode,codeOrigin,sourceFile,sourceRow,extensionType,description,minLevel,distanceM,durationMin,maxTimeSec,organization,ageRule,validityYears,acquisitionYearOnly,mandatoryInFirstAcquisitionYear,policyValue
discipline_requirement,,2026,6,7,M,Ausdauer,1,Laufen 800 m,Laufen 800 m,,number,lower,340,300,255,5:40,5:00,4:15,laufen-800-m,,1,catalog_inference,202604_6_-_7_M.pdf,1,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Ausdauer,3,Dauer-/ Geländelauf,Dauer-/ Geländelauf,,number,higher,600,900,1200,10:00,15:00,20:00,dauer-gelaendelauf,,3,catalog_inference,202604_6_-_7_M.pdf,3,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Ausdauer,5,Schwimmen 200 m,Schwimmen 200 m,,number,lower,540,440,370,9:00,7:20,6:10,schwimmen-200-m,,5,catalog_inference,202604_6_-_7_M.pdf,5,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Kraft,1,Schlagball 80 gr,Schlagball 80 gr,,number,higher,12,15,17,"12,00","15,00","17,00",schlagball-80-gr,,1,catalog_inference,202604_6_-_7_M.pdf,8,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Kraft,2,Medizinball 1 kg,Medizinball 1 kg,,number,higher,2.5,3.5,4.5,"2,50","3,50","4,50",medizinball-1-kg,,2,catalog_inference,202604_6_-_7_M.pdf,9,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Kraft,5,Standweitsprung,Standweitsprung,,number,higher,1.15,1.35,1.5,"1,15","1,35","1,50",standweitsprung,,5,catalog_inference,202604_6_-_7_M.pdf,10,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Kraft,6.2.7.1,Gerätturnen Kopfstand,Gerätturnen Kopfstand,,level,higher,1,2,3,1,2,3,geraetturnen-kopfstand,6.2.7.1,7,pdf,202604_6_-_7_M.pdf,12,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Schnelligkeit,1,Laufen 30 m,Laufen 30 m,,number,lower,7.7,6.8,6,"7,7","6,8","6,0",laufen-30-m,,1,catalog_inference,202604_6_-_7_M.pdf,13,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Schnelligkeit,2,Schwimmen 25 m,Schwimmen 25 m,,number,lower,46,38,30,"46,0","38,0","30,0",schwimmen-25-m,,2,catalog_inference,202604_6_-_7_M.pdf,14,,,,,,,,,,,,
discipline_requirement,,2026,6,7,M,Schnelligkeit,6.3.4.1,Gerätturnen Sprungaufhocken,Gerätturnen Sprungaufhocken,,level,higher,1,2,3,1,2,3,geraetturnen-sprungaufhocken,6.3.4.1,4,pdf,202604_6_-_7_M.pdf,15,,,,,,,,,,,,
